Transaction ID,Date,Customer ID,Gender,Age,Product Category,Quantity,Price per Unit,Total Amount,Store_ID,Location,Size,Category
549,8/4/2024,CUST549,Female,50,Beauty,2,50,100,S010,New Orleans,Large,Online
555,10/19/2024,CUST555,Male,25,Beauty,1,300,300,S010,New Orleans,Large,Online
584,2/17/2024,CUST584,Female,27,Beauty,4,50,200,S010,New Orleans,Large,Online
589,4/12/2024,CUST589,Female,36,Beauty,2,500,1000,S010,New Orleans,Large,Online
599,11/19/2024,CUST599,Female,28,Beauty,2,50,100,S010,New Orleans,Large,Online
609,12/19/2024,CUST609,Female,47,Clothing,2,50,100,S010,New Orleans,Large,Online
618,1/26/2024,CUST618,Female,27,Beauty,1,50,50,S010,New Orleans,Large,Online
626,9/29/2024,CUST626,Female,26,Clothing,4,500,2000,S010,New Orleans,Large,Online
636,3/23/2024,CUST636,Female,21,Beauty,3,500,1500,S010,New Orleans,Large,Online
637,9/1/2024,CUST637,Male,43,Clothing,2,300,600,S010,New Orleans,Large,Online
639,5/13/2024,CUST639,Female,62,Beauty,4,50,200,S010,New Orleans,Large,Online
654,6/21/2024,CUST654,Male,42,Clothing,3,25,75,S010,New Orleans,Large,Online
657,2/11/2024,CUST657,Male,40,Clothing,1,25,25,S010,New Orleans,Large,Online
658,3/12/2024,CUST658,Male,59,Clothing,1,25,25,S010,New Orleans,Large,Online
665,4/20/2024,CUST665,Male,57,Clothing,1,50,50,S010,New Orleans,Large,Online
670,10/5/2024,CUST670,Male,27,Beauty,1,30,30,S010,New Orleans,Large,Online
705,3/7/2024,CUST705,Male,60,Electronics,2,25,50,S010,New Orleans,Large,Online
708,1/14/2024,CUST708,Female,43,Beauty,3,300,900,S010,New Orleans,Large,Online
719,4/4/2024,CUST719,Female,42,Clothing,2,30,60,S010,New Orleans,Large,Online
724,4/19/2024,CUST724,Male,61,Clothing,3,50,150,S010,New Orleans,Large,Online
744,5/7/2024,CUST744,Male,40,Electronics,1,25,25,S010,New Orleans,Large,Online
749,5/3/2024,CUST749,Male,42,Beauty,1,30,30,S010,New Orleans,Large,Online
755,4/22/2024,CUST755,Female,58,Clothing,3,25,75,S010,New Orleans,Large,Online
758,5/12/2024,CUST758,Male,64,Clothing,4,25,100,S010,New Orleans,Large,Online
763,2/28/2024,CUST763,Male,34,Clothing,2,25,50,S010,New Orleans,Large,Online
770,10/22/2024,CUST770,Male,32,Clothing,1,50,50,S010,New Orleans,Large,Online
786,10/17/2024,CUST786,Male,48,Clothing,4,25,100,S010,New Orleans,Large,Online
801,8/10/2024,CUST801,Male,21,Clothing,4,50,200,S010,New Orleans,Large,Online
810,11/30/2024,CUST810,Male,59,Electronics,4,25,100,S010,New Orleans,Large,Online
812,11/12/2024,CUST812,Male,19,Electronics,3,25,75,S010,New Orleans,Large,Online
814,9/5/2024,CUST814,Female,59,Clothing,1,500,500,S010,New Orleans,Large,Online
845,1/6/2024,CUST845,Male,54,Clothing,1,500,500,S010,New Orleans,Large,Online
856,11/27/2024,CUST856,Male,54,Electronics,4,30,120,S010,New Orleans,Large,Online
862,5/31/2024,CUST862,Male,28,Electronics,4,300,1200,S010,New Orleans,Large,Online
869,10/25/2024,CUST869,Male,37,Beauty,3,500,1500,S010,New Orleans,Large,Online
871,8/31/2024,CUST871,Male,62,Beauty,2,30,60,S010,New Orleans,Large,Online
872,10/11/2024,CUST872,Female,63,Beauty,3,25,75,S010,New Orleans,Large,Online
887,6/11/2024,CUST887,Male,59,Clothing,4,25,100,S010,New Orleans,Large,Online
892,4/9/2024,CUST892,Male,20,Electronics,1,50,50,S010,New Orleans,Large,Online
894,9/5/2024,CUST894,Male,52,Electronics,1,30,30,S010,New Orleans,Large,Online
901,4/10/2024,CUST901,Male,31,Electronics,1,30,30,S010,New Orleans,Large,Online
914,10/11/2024,CUST914,Female,59,Electronics,1,500,500,S010,New Orleans,Large,Online
925,9/3/2024,CUST925,Male,25,Electronics,1,300,300,S010,New Orleans,Large,Online
933,2/3/2024,CUST933,Male,22,Beauty,1,30,30,S010,New Orleans,Large,Online
936,2/7/2024,CUST936,Male,57,Beauty,4,50,200,S010,New Orleans,Large,Online
938,11/19/2024,CUST938,Male,49,Clothing,4,50,200,S010,New Orleans,Large,Online
949,8/2/2024,CUST949,Female,41,Electronics,2,25,50,S010,New Orleans,Large,Online
951,11/2/2024,CUST951,Male,33,Beauty,2,50,100,S010,New Orleans,Large,Online
960,8/8/2024,CUST960,Male,59,Clothing,2,30,60,S010,New Orleans,Large,Online
961,6/6/2024,CUST961,Male,53,Beauty,4,50,200,S010,New Orleans,Large,Online
968,11/17/2024,CUST968,Female,48,Clothing,3,300,900,S010,New Orleans,Large,Online
978,3/22/2024,CUST978,Female,53,Clothing,3,50,150,S010,New Orleans,Large,Online
987,4/29/2024,CUST987,Female,30,Clothing,3,300,900,S010,New Orleans,Large,Online
997,11/17/2024,CUST997,Male,52,Beauty,3,30,90,S010,New Orleans,Large,Online
2,2/27/2024,CUST002,Female,26,Clothing,2,500,1000,S005,Atlanta,Medium,Flagship
5,5/6/2024,CUST005,Male,30,Beauty,2,50,100,S005,Atlanta,Medium,Flagship
6,4/25/2024,CUST006,Female,45,Beauty,1,30,30,S005,Atlanta,Medium,Flagship
7,3/13/2024,CUST007,Male,46,Clothing,2,25,50,S005,Atlanta,Medium,Flagship
36,6/24/2024,CUST036,Male,52,Beauty,3,300,900,S005,Atlanta,Medium,Flagship
44,2/19/2024,CUST044,Female,22,Clothing,1,25,25,S005,Atlanta,Medium,Flagship
52,3/5/2024,CUST052,Female,36,Beauty,1,300,300,S005,Atlanta,Medium,Flagship
58,11/13/2024,CUST058,Male,18,Clothing,4,300,1200,S005,Atlanta,Medium,Flagship
64,1/24/2024,CUST064,Male,49,Clothing,4,25,100,S005,Atlanta,Medium,Flagship
65,12/5/2024,CUST065,Male,51,Electronics,4,500,2000,S005,Atlanta,Medium,Flagship
87,11/22/2024,CUST087,Female,28,Beauty,2,50,100,S005,Atlanta,Medium,Flagship
97,10/13/2024,CUST097,Female,51,Beauty,2,500,1000,S005,Atlanta,Medium,Flagship
135,2/26/2024,CUST135,Male,20,Clothing,2,25,50,S005,Atlanta,Medium,Flagship
143,7/17/2024,CUST143,Female,45,Clothing,1,50,50,S005,Atlanta,Medium,Flagship
144,7/15/2024,CUST144,Female,59,Beauty,3,500,1500,S005,Atlanta,Medium,Flagship
152,2/28/2024,CUST152,Male,43,Electronics,4,500,2000,S005,Atlanta,Medium,Flagship
160,8/11/2024,CUST160,Female,43,Clothing,2,50,100,S005,Atlanta,Medium,Flagship
189,1/30/2024,CUST189,Male,63,Beauty,1,50,50,S005,Atlanta,Medium,Flagship
190,5/4/2024,CUST190,Female,60,Beauty,3,30,90,S005,Atlanta,Medium,Flagship
202,3/26/2024,CUST202,Female,34,Clothing,4,300,1200,S005,Atlanta,Medium,Flagship
219,8/20/2024,CUST219,Female,53,Electronics,3,30,90,S005,Atlanta,Medium,Flagship
239,6/19/2024,CUST239,Male,38,Electronics,3,500,1500,S005,Atlanta,Medium,Flagship
241,9/21/2024,CUST241,Female,23,Electronics,3,25,75,S005,Atlanta,Medium,Flagship
244,12/9/2024,CUST244,Male,28,Beauty,2,50,100,S005,Atlanta,Medium,Flagship
256,2/18/2024,CUST256,Male,23,Clothing,2,500,1000,S005,Atlanta,Medium,Flagship
259,8/9/2024,CUST259,Female,45,Clothing,4,50,200,S005,Atlanta,Medium,Flagship
269,2/1/2024,CUST269,Male,25,Clothing,4,500,2000,S005,Atlanta,Medium,Flagship
274,4/9/2024,CUST274,Female,23,Clothing,2,500,1000,S005,Atlanta,Medium,Flagship
278,3/13/2024,CUST278,Female,37,Clothing,4,25,100,S005,Atlanta,Medium,Flagship
292,2/17/2024,CUST292,Male,20,Beauty,4,300,1200,S005,Atlanta,Medium,Flagship
294,3/27/2024,CUST294,Female,23,Clothing,3,30,90,S005,Atlanta,Medium,Flagship
307,5/27/2024,CUST307,Female,26,Electronics,2,25,50,S005,Atlanta,Medium,Flagship
316,4/22/2024,CUST316,Female,48,Clothing,2,25,50,S005,Atlanta,Medium,Flagship
343,11/1/2024,CUST343,Male,21,Electronics,2,25,50,S005,Atlanta,Medium,Flagship
354,4/15/2024,CUST354,Female,49,Beauty,4,50,200,S005,Atlanta,Medium,Flagship
365,6/11/2024,CUST365,Male,31,Clothing,1,300,300,S005,Atlanta,Medium,Flagship
381,7/9/2024,CUST381,Female,44,Clothing,4,25,100,S005,Atlanta,Medium,Flagship
394,6/3/2024,CUST394,Female,27,Clothing,1,500,500,S005,Atlanta,Medium,Flagship
400,2/24/2024,CUST400,Male,53,Clothing,4,50,200,S005,Atlanta,Medium,Flagship
414,5/9/2024,CUST414,Male,48,Beauty,4,25,100,S005,Atlanta,Medium,Flagship
457,7/28/2024,CUST457,Female,58,Beauty,3,300,900,S005,Atlanta,Medium,Flagship
474,7/15/2024,CUST474,Female,26,Clothing,3,500,1500,S005,Atlanta,Medium,Flagship
478,4/13/2024,CUST478,Female,58,Clothing,2,30,60,S005,Atlanta,Medium,Flagship
500,3/1/2024,CUST500,Female,60,Beauty,4,25,100,S005,Atlanta,Medium,Flagship
503,10/25/2024,CUST503,Male,45,Beauty,4,500,2000,S005,Atlanta,Medium,Flagship
519,1/23/2024,CUST519,Female,36,Electronics,4,30,120,S005,Atlanta,Medium,Flagship
522,1/1/2024,CUST522,Male,46,Beauty,3,500,1500,S005,Atlanta,Medium,Flagship
523,9/24/2024,CUST523,Female,62,Electronics,1,300,300,S005,Atlanta,Medium,Flagship
541,7/29/2024,CUST541,Male,56,Beauty,1,500,500,S005,Atlanta,Medium,Flagship
542,6/17/2024,CUST542,Female,20,Beauty,1,50,50,S005,Atlanta,Medium,Flagship
558,10/8/2024,CUST558,Female,41,Clothing,1,25,25,S005,Atlanta,Medium,Flagship
559,1/1/2024,CUST559,Female,40,Clothing,4,300,1200,S005,Atlanta,Medium,Flagship
562,4/18/2024,CUST562,Male,54,Electronics,2,25,50,S005,Atlanta,Medium,Flagship
586,12/11/2024,CUST586,Male,50,Electronics,1,50,50,S005,Atlanta,Medium,Flagship
598,8/1/2024,CUST598,Male,37,Beauty,4,30,120,S005,Atlanta,Medium,Flagship
606,5/5/2024,CUST606,Male,22,Electronics,1,50,50,S005,Atlanta,Medium,Flagship
610,1/3/2024,CUST610,Female,26,Beauty,2,300,600,S005,Atlanta,Medium,Flagship
612,8/6/2024,CUST612,Female,61,Electronics,1,500,500,S005,Atlanta,Medium,Flagship
614,4/1/2024,CUST614,Female,39,Beauty,4,300,1200,S005,Atlanta,Medium,Flagship
627,10/14/2024,CUST627,Male,57,Clothing,1,50,50,S005,Atlanta,Medium,Flagship
653,5/20/2024,CUST653,Male,54,Clothing,3,25,75,S005,Atlanta,Medium,Flagship
680,10/22/2024,CUST680,Female,53,Clothing,3,300,900,S005,Atlanta,Medium,Flagship
683,1/4/2024,CUST683,Male,38,Beauty,2,500,1000,S005,Atlanta,Medium,Flagship
684,6/30/2024,CUST684,Female,28,Clothing,2,500,1000,S005,Atlanta,Medium,Flagship
688,10/3/2024,CUST688,Male,56,Clothing,4,25,100,S005,Atlanta,Medium,Flagship
689,10/7/2024,CUST689,Male,57,Electronics,2,50,100,S005,Atlanta,Medium,Flagship
704,8/28/2024,CUST704,Female,62,Clothing,3,30,90,S005,Atlanta,Medium,Flagship
727,6/22/2024,CUST727,Male,55,Beauty,3,300,900,S005,Atlanta,Medium,Flagship
728,7/14/2024,CUST728,Male,51,Electronics,3,50,150,S005,Atlanta,Medium,Flagship
741,11/30/2024,CUST741,Male,48,Clothing,1,300,300,S005,Atlanta,Medium,Flagship
743,1/16/2024,CUST743,Female,34,Beauty,4,500,2000,S005,Atlanta,Medium,Flagship
746,1/11/2024,CUST746,Female,33,Clothing,3,30,90,S005,Atlanta,Medium,Flagship
747,11/15/2024,CUST747,Male,23,Beauty,1,30,30,S005,Atlanta,Medium,Flagship
751,8/31/2024,CUST751,Female,42,Clothing,2,25,50,S005,Atlanta,Medium,Flagship
767,10/24/2024,CUST767,Male,39,Beauty,3,25,75,S005,Atlanta,Medium,Flagship
791,12/5/2024,CUST791,Female,51,Beauty,1,25,25,S005,Atlanta,Medium,Flagship
795,11/28/2024,CUST795,Male,57,Electronics,1,300,300,S005,Atlanta,Medium,Flagship
804,8/24/2024,CUST804,Male,42,Electronics,1,30,30,S005,Atlanta,Medium,Flagship
826,10/19/2024,CUST826,Female,46,Clothing,1,300,300,S005,Atlanta,Medium,Flagship
832,9/11/2024,CUST832,Male,47,Beauty,4,500,2000,S005,Atlanta,Medium,Flagship
836,4/19/2024,CUST836,Female,22,Clothing,1,50,50,S005,Atlanta,Medium,Flagship
839,6/24/2024,CUST839,Female,20,Electronics,4,300,1200,S005,Atlanta,Medium,Flagship
842,12/26/2024,CUST842,Female,47,Clothing,2,300,600,S005,Atlanta,Medium,Flagship
854,12/20/2024,CUST854,Male,29,Clothing,1,50,50,S005,Atlanta,Medium,Flagship
855,9/1/2024,CUST855,Male,54,Beauty,1,25,25,S005,Atlanta,Medium,Flagship
866,5/5/2024,CUST866,Male,24,Electronics,1,50,50,S005,Atlanta,Medium,Flagship
889,10/2/2024,CUST889,Female,35,Electronics,1,50,50,S005,Atlanta,Medium,Flagship
891,4/5/2024,CUST891,Male,41,Electronics,3,300,900,S005,Atlanta,Medium,Flagship
904,7/4/2024,CUST904,Male,28,Clothing,1,500,500,S005,Atlanta,Medium,Flagship
921,1/7/2024,CUST921,Male,51,Electronics,3,25,75,S005,Atlanta,Medium,Flagship
929,1/27/2024,CUST929,Female,23,Beauty,3,25,75,S005,Atlanta,Medium,Flagship
930,5/10/2024,CUST930,Male,54,Clothing,4,50,200,S005,Atlanta,Medium,Flagship
946,5/8/2024,CUST946,Male,62,Electronics,4,500,2000,S005,Atlanta,Medium,Flagship
962,10/19/2024,CUST962,Male,44,Clothing,2,30,60,S005,Atlanta,Medium,Flagship
963,11/14/2024,CUST963,Female,55,Beauty,1,50,50,S005,Atlanta,Medium,Flagship
982,12/19/2024,CUST982,Female,46,Beauty,3,30,90,S005,Atlanta,Medium,Flagship
983,11/1/2024,CUST983,Female,29,Clothing,1,300,300,S005,Atlanta,Medium,Flagship
984,8/29/2024,CUST984,Male,56,Clothing,1,500,500,S005,Atlanta,Medium,Flagship
992,8/21/2024,CUST992,Female,57,Electronics,2,30,60,S005,Atlanta,Medium,Flagship
3,1/13/2024,CUST003,Male,50,Electronics,1,30,30,S009,Oregon,Small,Outlet
14,1/17/2024,CUST014,Male,64,Clothing,4,30,120,S009,Oregon,Small,Outlet
15,1/16/2024,CUST015,Female,42,Electronics,4,500,2000,S009,Oregon,Small,Outlet
18,4/30/2024,CUST018,Female,47,Electronics,2,25,50,S009,Oregon,Small,Outlet
22,10/15/2024,CUST022,Male,18,Clothing,2,50,100,S009,Oregon,Small,Outlet
29,8/18/2024,CUST029,Female,42,Electronics,1,30,30,S009,Oregon,Small,Outlet
37,5/23/2024,CUST037,Female,18,Beauty,3,25,75,S009,Oregon,Small,Outlet
41,2/22/2024,CUST041,Male,34,Clothing,2,25,50,S009,Oregon,Small,Outlet
48,5/16/2024,CUST048,Male,54,Electronics,3,300,900,S009,Oregon,Small,Outlet
61,4/9/2024,CUST061,Male,21,Beauty,4,50,200,S009,Oregon,Small,Outlet
75,7/6/2024,CUST075,Male,61,Beauty,4,50,200,S009,Oregon,Small,Outlet
114,7/22/2024,CUST114,Female,22,Beauty,4,25,100,S009,Oregon,Small,Outlet
124,10/27/2024,CUST124,Male,33,Clothing,4,500,2000,S009,Oregon,Small,Outlet
138,3/23/2024,CUST138,Male,49,Clothing,4,50,200,S009,Oregon,Small,Outlet
147,9/28/2024,CUST147,Male,23,Electronics,1,300,300,S009,Oregon,Small,Outlet
158,2/27/2024,CUST158,Female,44,Electronics,2,300,600,S009,Oregon,Small,Outlet
167,9/17/2024,CUST167,Female,43,Clothing,3,50,150,S009,Oregon,Small,Outlet
175,3/20/2024,CUST175,Female,31,Electronics,4,25,100,S009,Oregon,Small,Outlet
185,2/27/2024,CUST185,Male,24,Clothing,1,25,25,S009,Oregon,Small,Outlet
196,9/30/2024,CUST196,Female,32,Clothing,3,300,900,S009,Oregon,Small,Outlet
228,4/28/2024,CUST228,Female,59,Electronics,2,30,60,S009,Oregon,Small,Outlet
251,8/31/2024,CUST251,Female,57,Beauty,4,50,200,S009,Oregon,Small,Outlet
255,4/8/2024,CUST255,Male,48,Clothing,1,30,30,S009,Oregon,Small,Outlet
258,12/4/2024,CUST258,Female,37,Clothing,1,50,50,S009,Oregon,Small,Outlet
263,8/28/2024,CUST263,Male,23,Beauty,2,30,60,S009,Oregon,Small,Outlet
281,5/23/2024,CUST281,Female,29,Beauty,4,500,2000,S009,Oregon,Small,Outlet
286,10/9/2024,CUST286,Male,55,Electronics,2,25,50,S009,Oregon,Small,Outlet
287,2/20/2024,CUST287,Male,54,Clothing,4,25,100,S009,Oregon,Small,Outlet
289,11/30/2024,CUST289,Male,53,Electronics,2,30,60,S009,Oregon,Small,Outlet
317,1/30/2024,CUST317,Male,22,Electronics,3,30,90,S009,Oregon,Small,Outlet
319,10/5/2024,CUST319,Male,31,Clothing,1,500,500,S009,Oregon,Small,Outlet
323,1/26/2024,CUST323,Female,29,Beauty,3,300,900,S009,Oregon,Small,Outlet
339,3/3/2024,CUST339,Female,22,Electronics,2,25,50,S009,Oregon,Small,Outlet
340,10/19/2024,CUST340,Female,36,Clothing,4,300,1200,S009,Oregon,Small,Outlet
362,11/27/2024,CUST362,Male,50,Clothing,1,25,25,S009,Oregon,Small,Outlet
367,1/5/2024,CUST367,Female,57,Electronics,1,50,50,S009,Oregon,Small,Outlet
384,8/13/2024,CUST384,Male,55,Clothing,1,500,500,S009,Oregon,Small,Outlet
387,6/4/2024,CUST387,Male,44,Beauty,1,30,30,S009,Oregon,Small,Outlet
408,4/15/2024,CUST408,Female,64,Beauty,1,500,500,S009,Oregon,Small,Outlet
422,6/20/2024,CUST422,Female,28,Clothing,3,30,90,S009,Oregon,Small,Outlet
435,12/20/2024,CUST435,Female,30,Beauty,3,300,900,S009,Oregon,Small,Outlet
443,8/9/2024,CUST443,Male,29,Clothing,2,300,600,S009,Oregon,Small,Outlet
456,10/14/2024,CUST456,Male,57,Electronics,2,30,60,S009,Oregon,Small,Outlet
476,8/29/2024,CUST476,Female,27,Clothing,4,500,2000,S009,Oregon,Small,Outlet
477,4/24/2024,CUST477,Male,43,Clothing,4,30,120,S009,Oregon,Small,Outlet
488,6/18/2024,CUST488,Female,51,Electronics,3,300,900,S009,Oregon,Small,Outlet
492,6/29/2024,CUST492,Male,61,Beauty,4,25,100,S009,Oregon,Small,Outlet
506,2/25/2024,CUST506,Male,34,Beauty,3,500,1500,S009,Oregon,Small,Outlet
537,6/3/2024,CUST537,Female,21,Beauty,1,500,500,S009,Oregon,Small,Outlet
543,7/26/2024,CUST543,Male,49,Beauty,2,300,600,S009,Oregon,Small,Outlet
557,7/27/2024,CUST557,Female,20,Beauty,3,30,90,S009,Oregon,Small,Outlet
560,6/5/2024,CUST560,Female,25,Electronics,1,50,50,S009,Oregon,Small,Outlet
564,10/24/2024,CUST564,Male,50,Electronics,2,50,100,S009,Oregon,Small,Outlet
590,3/17/2024,CUST590,Male,36,Clothing,3,300,900,S009,Oregon,Small,Outlet
592,1/24/2024,CUST592,Female,46,Beauty,4,500,2000,S009,Oregon,Small,Outlet
594,9/1/2024,CUST594,Female,19,Electronics,2,300,600,S009,Oregon,Small,Outlet
607,3/17/2024,CUST607,Male,54,Clothing,3,25,75,S009,Oregon,Small,Outlet
620,5/8/2024,CUST620,Male,63,Electronics,3,25,75,S009,Oregon,Small,Outlet
631,11/10/2024,CUST631,Male,56,Electronics,3,30,90,S009,Oregon,Small,Outlet
643,9/24/2024,CUST643,Female,28,Electronics,3,30,90,S009,Oregon,Small,Outlet
645,11/17/2024,CUST645,Female,35,Electronics,4,30,120,S009,Oregon,Small,Outlet
649,2/9/2024,CUST649,Female,58,Clothing,2,300,600,S009,Oregon,Small,Outlet
652,5/1/2024,CUST652,Female,34,Beauty,2,50,100,S009,Oregon,Small,Outlet
661,7/16/2024,CUST661,Female,44,Clothing,4,25,100,S009,Oregon,Small,Outlet
663,3/20/2024,CUST663,Male,23,Clothing,4,300,1200,S009,Oregon,Small,Outlet
675,8/4/2024,CUST675,Female,45,Clothing,2,30,60,S009,Oregon,Small,Outlet
679,1/11/2024,CUST679,Female,18,Beauty,3,30,90,S009,Oregon,Small,Outlet
731,5/10/2024,CUST731,Male,54,Clothing,4,500,2000,S009,Oregon,Small,Outlet
750,3/6/2024,CUST750,Female,35,Clothing,3,25,75,S009,Oregon,Small,Outlet
752,12/9/2024,CUST752,Male,29,Clothing,2,50,100,S009,Oregon,Small,Outlet
773,7/23/2024,CUST773,Male,25,Electronics,4,500,2000,S009,Oregon,Small,Outlet
793,2/5/2024,CUST793,Male,54,Beauty,1,30,30,S009,Oregon,Small,Outlet
798,8/4/2024,CUST798,Male,61,Clothing,1,50,50,S009,Oregon,Small,Outlet
829,7/14/2024,CUST829,Male,61,Beauty,3,30,90,S009,Oregon,Small,Outlet
851,9/8/2024,CUST851,Male,32,Electronics,2,25,50,S009,Oregon,Small,Outlet
858,9/9/2024,CUST858,Male,23,Electronics,2,50,100,S009,Oregon,Small,Outlet
877,6/19/2024,CUST877,Female,58,Clothing,1,25,25,S009,Oregon,Small,Outlet
902,6/1/2024,CUST902,Female,54,Beauty,1,50,50,S009,Oregon,Small,Outlet
907,1/8/2024,CUST907,Female,45,Electronics,1,25,25,S009,Oregon,Small,Outlet
923,5/26/2024,CUST923,Male,32,Beauty,3,300,900,S009,Oregon,Small,Outlet
928,4/5/2024,CUST928,Female,35,Clothing,4,300,1200,S009,Oregon,Small,Outlet
939,12/18/2024,CUST939,Female,46,Electronics,1,300,300,S009,Oregon,Small,Outlet
948,10/13/2024,CUST948,Female,23,Electronics,3,25,75,S009,Oregon,Small,Outlet
957,8/15/2024,CUST957,Female,60,Electronics,4,30,120,S009,Oregon,Small,Outlet
958,6/2/2024,CUST958,Male,62,Electronics,2,25,50,S009,Oregon,Small,Outlet
959,10/29/2024,CUST959,Female,42,Electronics,2,30,60,S009,Oregon,Small,Outlet
965,11/9/2024,CUST965,Male,22,Clothing,4,50,200,S009,Oregon,Small,Outlet
985,5/30/2024,CUST985,Female,19,Electronics,2,25,50,S009,Oregon,Small,Outlet
996,5/16/2024,CUST996,Male,62,Clothing,1,50,50,S009,Oregon,Small,Outlet
